"Date", "Numbers", "Winners", "Total Payout"
"4/10/2009","763 Midday","3383","$309,945"
"4/10/2009","258 Evening","3318","$381,220"
"4/9/2009","879 Midday","4432","$365,215"
"4/9/2009","809 Evening","3934","$408,585"
"4/8/2009","775 Midday","809","$127,575"
"4/8/2009","615 Evening","3605","$423,725"
"4/7/2009","133 Midday","3274","$517,240"
"4/7/2009","418 Evening","2836","$342,615"
"4/6/2009","034 Midday","3948","$325,900"
"4/6/2009","551 Evening","2679","$453,195"
"4/5/2009","306 Evening","3161","$372,655"
"4/4/2009","204 Midday","4443","$460,990"
"4/4/2009","407 Evening","3071","$352,295"
"4/3/2009","072 Midday","2471","$172,890"
"4/3/2009","224 Evening","4333","$948,055"
"4/2/2009","216 Midday","3838","$419,395"
"4/2/2009","877 Evening","1163","$179,125"
"4/1/2009","344 Midday","1637","$291,725"
"4/1/2009","054 Evening","3312","$265,345"
"3/31/2009","230 Midday","3094","$273,440"
"3/31/2009","544 Evening","1746","$271,810"
"3/30/2009","191 Midday","3903","$594,005"
"3/30/2009","557 Evening","1609","$289,115"
"3/29/2009","110 Evening","7216","$1,524,960"
"3/28/2009","799 Midday","817","$137,160"
"3/28/2009","299 Evening","1639","$295,425"
"3/27/2009","543 Midday","2807","$274,380"
"3/27/2009","776 Evening","1509","$285,600"
"3/26/2009","549 Midday","1558","$180,325"
"3/26/2009","247 Evening","2577","$269,465"
"3/25/2009","193 Midday","2525","$228,655"
"3/25/2009","274 Evening","2442","$177,145"
"3/24/2009","936 Midday","2385","$190,385"
"3/24/2009","194 Evening","3314","$244,385"
"3/23/2009","891 Midday","1968","$147,060"
"3/23/2009","707 Evening","1346","$269,605"
"3/22/2009","060 Evening","1299","$178,560"
"3/21/2009","834 Midday","2361","$245,330"
"3/21/2009","391 Evening","2779","$225,300"
"3/20/2009","718 Midday","2724","$311,145"
"3/20/2009","597 Evening","2674","$242,985"
"3/19/2009","703 Midday","1764","$174,045"
"3/19/2009","634 Evening","2062","$186,255"
"3/18/2009","175 Midday","2226","$232,770"
"3/18/2009","742 Evening","3218","$325,770"
"3/17/2009","599 Midday","615","$99,670"
"3/17/2009","389 Evening","1438","$162,025"
"3/16/2009","285 Midday","3254","$333,205"
"3/16/2009","268 Evening","3757","$355,885"
"3/15/2009","565 Evening","1223","$204,410"
"3/14/2009","900 Midday","2382","$440,125"
"3/14/2009","073 Evening","2035","$152,485"
"3/13/2009","554 Midday","1482","$263,670"
"3/13/2009","507 Evening","2323","$230,160"
"3/12/2009","995 Midday","849","$147,740"
"3/12/2009","703 Evening","3454","$398,485"
"3/11/2009","119 Midday","5149","$923,480"
"3/11/2009","796 Evening","9079","$717,370"
"3/10/2009","505 Midday","1109","$206,840"
"3/10/2009","632 Evening","2102","$181,135"
"3/9/2009","878 Midday","915","$166,735"
"3/9/2009","212 Evening","4287","$962,680"
"3/8/2009","938 Evening","2158","$176,545"
"3/7/2009","927 Midday","3141","$326,175"
"3/7/2009","094 Evening","2117","$154,835"
"3/6/2009","080 Midday","1909","$298,065"
"3/6/2009","496 Evening","1865","$164,580"
"3/5/2009","913 Midday","2749","$284,400"
"3/5/2009","481 Evening","4957","$366,620"
"3/4/2009","012 Midday","7269","$532,830"
"3/4/2009","362 Evening","3696","$325,890"
"3/3/2009","004 Midday","1957","$277,615"
"3/3/2009","552 Evening","2098","$311,675"
"3/2/2009","977 Midday","889","$135,030"
"3/2/2009","570 Evening","2196","$187,690"
"3/1/2009","608 Evening","1599","$193,800"
"2/28/2009","464 Midday","1503","$273,710"
"2/28/2009","053 Evening","3528","$248,640"
"2/27/2009","453 Midday","2769","$230,665"
"2/27/2009","029 Evening","3757","$300,740"
"2/26/2009","055 Midday","1436","$194,595"
"2/26/2009","913 Evening","3541","$441,035"
"2/25/2009","962 Midday","3443","$274,900"
"2/25/2009","542 Evening","4526","$446,305"
"2/24/2009","836 Midday","1673","$127,585"
"2/24/2009","469 Evening","2895","$293,400"
"2/23/2009","295 Midday","4157","$351,040"
"2/23/2009","427 Evening","5086","$767,140"
"2/22/2009","555 Evening","7404","$2,711,050"
"2/21/2009","221 Midday","6286","$1,250,960"
"2/21/2009","929 Evening","1757","$352,820"
"2/20/2009","813 Midday","4829","$534,355"
"2/20/2009","821 Evening","6976","$652,045"
"2/19/2009","330 Midday","2192","$422,750"
"2/19/2009","345 Evening","4294","$518,520"
"2/18/2009","715 Midday","3305","$361,925"
"2/18/2009","689 Evening","2319","$227,460"
"2/17/2009","863 Midday","2665","$267,010"
