
"Date", "Numbers", "Winners", "Total Payout"
"4/10/2009","2872 Midday","178","$90,900"
"4/10/2009","1034 Evening","983","$276,200"
"4/9/2009","0834 Midday","294","$64,100"
"4/9/2009","9673 Evening","404","$87,200"
"4/8/2009","9271 Midday","472","$64,000"
"4/8/2009","6715 Evening","802","$145,300"
"4/7/2009","9497 Midday","154","$45,100"
"4/7/2009","4883 Evening","232","$91,600"
"4/6/2009","5969 Midday","141","$56,400"
"4/6/2009","6582 Evening","411","$58,900"
"4/5/2009","0124 Evening","1271","$208,400"
"4/4/2009","3305 Midday","144","$51,500"
"4/4/2009","8200 Evening","493","$154,700"
"4/3/2009","5815 Midday","188","$73,600"
"4/3/2009","2736 Evening","666","$129,300"
"4/2/2009","1603 Midday","460","$104,800"
"4/2/2009","0967 Evening","340","$65,300"
"4/1/2009","5419 Midday","961","$160,600"
"4/1/2009","7835 Evening","544","$145,900"
"3/31/2009","9347 Midday","320","$51,500"
"3/31/2009","7858 Evening","204","$77,000"
"3/30/2009","8004 Midday","152","$76,200"
"3/30/2009","7921 Evening","833","$119,700"
"3/29/2009","2557 Evening","207","$69,000"
"3/28/2009","5936 Midday","263","$45,300"
"3/28/2009","2884 Evening","237","$109,000"
"3/27/2009","4094 Midday","131","$27,200"
"3/27/2009","3609 Evening","384","$74,300"
"3/26/2009","1216 Midday","403","$263,900"
"3/26/2009","6883 Evening","207","$74,900"
"3/25/2009","3453 Midday","147","$46,600"
"3/25/2009","4363 Evening","252","$83,600"
"3/24/2009","9372 Midday","270","$45,900"
"3/24/2009","5026 Evening","356","$75,200"
"3/23/2009","5368 Midday","283","$47,500"
"3/23/2009","2380 Evening","459","$95,700"
"3/22/2009","9311 Evening","736","$200,400"
"3/21/2009","5875 Midday","109","$47,600"
"3/21/2009","3661 Evening","242","$75,600"
"3/20/2009","1482 Midday","510","$113,900"
"3/20/2009","8738 Evening","181","$58,200"
"3/19/2009","7214 Midday","548","$116,400"
"3/19/2009","6560 Evening","225","$102,000"
"3/18/2009","2273 Midday","195","$65,600"
"3/18/2009","2605 Evening","333","$83,300"
"3/17/2009","8085 Midday","126","$51,000"
"3/17/2009","1130 Evening","1313","$721,200"
"3/16/2009","1325 Midday","574","$143,300"
"3/16/2009","6336 Evening","285","$191,100"
"3/15/2009","2369 Evening","403","$141,300"
"3/14/2009","3122 Midday","524","$166,100"
"3/14/2009","0568 Evening","359","$54,900"
"3/13/2009","7296 Midday","336","$59,000"
"3/13/2009","4607 Evening","438","$93,200"
"3/12/2009","8189 Midday","366","$115,500"
"3/12/2009","9918 Evening","870","$273,500"
"3/11/2009","1172 Midday","769","$273,000"
"3/11/2009","0930 Evening","338","$96,000"
"3/10/2009","8049 Midday","196","$45,600"
"3/10/2009","5394 Evening","517","$74,300"
"3/9/2009","0990 Midday","288","$149,700"
"3/9/2009","3859 Evening","421","$111,300"
"3/8/2009","5450 Evening","174","$108,700"
"3/7/2009","3488 Midday","198","$95,800"
"3/7/2009","5293 Evening","375","$74,200"
"3/6/2009","2056 Midday","364","$131,600"
"3/6/2009","4508 Evening","541","$181,400"
"3/5/2009","0623 Midday","507","$261,200"
"3/5/2009","8556 Evening","227","$85,900"
"3/4/2009","0029 Midday","988","$236,800"
"3/4/2009","1843 Evening","591","$102,300"
"3/3/2009","3034 Midday","196","$66,400"
"3/3/2009","8957 Evening","457","$77,800"
"3/2/2009","7041 Midday","538","$71,300"
"3/2/2009","4164 Evening","304","$94,000"
"3/1/2009","7625 Evening","383","$88,200"
"2/28/2009","7618 Midday","298","$46,000"
"2/28/2009","4300 Evening","433","$249,100"
"2/27/2009","9791 Midday","399","$91,900"
"2/27/2009","0064 Evening","288","$86,000"
"2/26/2009","3017 Midday","415","$120,600"
"2/26/2009","6384 Evening","452","$94,800"
"2/25/2009","0386 Midday","261","$34,100"
"2/25/2009","1865 Evening","456","$136,300"
"2/24/2009","0731 Midday","402","$81,200"
"2/24/2009","2109 Evening","1462","$366,600"
"2/23/2009","6819 Midday","721","$97,400"
"2/23/2009","4496 Evening","196","$55,200"
"2/22/2009","9990 Evening","486","$540,800"
"2/21/2009","0968 Midday","324","$43,000"
"2/21/2009","7628 Evening","454","$84,600"
"2/20/2009","8064 Midday","263","$47,600"
"2/20/2009","9009 Evening","386","$251,200"
"2/19/2009","6907 Midday","215","$37,500"
"2/19/2009","4775 Evening","237","$70,600"
"2/18/2009","4163 Midday","332","$57,200"
"2/18/2009","7665 Evening","189","$62,700"
"2/17/2009","2665 Midday","124","$42,600"
"2/17/2009","5923 Evening","461","$75,200"
"2/16/2009","8128 Midday","187","$65,400"
"2/16/2009","9208 Evening","475","$76,100"
"2/15/2009","5149 Evening","4389","$655,000"
"2/14/2009","1056 Midday","452","$143,500"
"2/14/2009","1293 Evening","1085","$236,700"
"2/13/2009","3869 Midday","276","$61,900"
"2/13/2009","3072 Evening","612","$146,100"
"2/12/2009","7551 Midday","200","$56,600"
"2/12/2009","4244 Evening","321","$273,800"
"2/11/2009","2922 Midday","208","$189,300"
"2/11/2009","6631 Evening","301","$95,200"
"2/10/2009","4321 Midday","2304","$845,500"
"2/10/2009","0885 Evening","258","$109,200"
"2/9/2009","9449 Midday","202","$108,700"
"2/9/2009","9491 Evening","1142","$318,200"
"2/8/2009","5714 Evening","572","$111,300"
"2/7/2009","8022 Midday","270","$85,300"
"2/7/2009","7690 Evening","470","$121,000"
"2/6/2009","8059 Midday","270","$62,900"
"2/6/2009","9867 Evening","1526","$238,000"
"2/5/2009","4340 Midday","158","$41,100"
"2/5/2009","5957 Evening","185","$63,000"
"2/4/2009","2174 Midday","459","$107,700"
"2/4/2009","7068 Evening","313","$42,700"
"2/3/2009","8532 Midday","421","$62,100"
"2/3/2009","0396 Evening","417","$59,300"
"2/2/2009","4904 Midday","157","$42,000"
"2/2/2009","9709 Evening","203","$95,800"
"2/1/2009","6546 Evening","281","$81,900"
"1/31/2009","0111 Midday","1001","$815,900"
"1/31/2009","0098 Evening","340","$108,700"
"1/30/2009","9039 Midday","185","$68,200"
"1/30/2009","0282 Evening","452","$124,600"
"1/29/2009","0294 Midday","276","$53,700"
"1/29/2009","5033 Evening","248","$115,600"
"1/28/2009","0829 Midday","317","$83,300"
"1/28/2009","1256 Evening","614","$213,900"
"1/27/2009","3627 Midday","341","$69,700"
"1/27/2009","1917 Evening","688","$426,500"
"1/26/2009","7802 Midday","289","$40,400"
"1/26/2009","9208 Evening","483","$93,400"
"1/25/2009","3842 Evening","437","$103,400"
"1/24/2009","5835 Midday","119","$40,200"
"1/24/2009","9865 Evening","344","$95,000"
"1/23/2009","6053 Midday","265","$42,300"
"1/23/2009","8604 Evening","430","$66,600"
"1/22/2009","2000 Midday","427","$626,800"
"1/22/2009","7676 Evening","265","$236,500"
"1/21/2009","5170 Midday","280","$63,600"
"1/21/2009","9015 Evening","932","$131,700"
"1/20/2009","7816 Midday","248","$33,500"
"1/20/2009","8222 Evening","165","$230,800"
"1/19/2009","0557 Midday","83","$23,400"
"1/19/2009","0186 Evening","361","$55,400"
"1/18/2009","8870 Evening","120","$43,600"
"1/17/2009","0084 Midday","213","$79,400"
"1/17/2009","2325 Evening","311","$150,200"
"1/16/2009","4959 Midday","147","$59,600"
"1/16/2009","7783 Evening","209","$112,600"
"1/15/2009","4815 Midday","263","$92,600"
"1/15/2009","1502 Evening","1319","$281,200"
"1/14/2009","4805 Midday","218","$35,100"
